C,Sex,Speaking,morph,lex,L1
Albania,Female,526.4,0.04149,0.5514249,1
Albania,Male,495.7,0.0435,0.5766802,1
Algeria,Female,515.4,0.053599999999999995,0.5556822,1
Algeria,Male,495.63157894736844,0.06532631578947368,0.5847114210526316,1
Argentina,Female,522.5714285714286,0.018592857142857144,0.3761162857142857,1
Argentina,Male,536.375,0.0193,0.398649,1
Armenia,Female,522.2,0.030933333333333334,0.48653420000000003,1
Armenia,Male,531,0.0298,0.492995,1
Australia,Female,522.4285714285714,0.01937857142857143,0.15731914285714285,1
Australia,Male,546.25,0.0094,0.083191,1
Austria,Male,572.6,-0.0171,0.037325,1
Belarus,Female,515.8888888888889,0.0468,0.3967846666666667,1
Belarus,Male,527.5,0.0468,0.3971355,1
Belgium,Female,525.1666666666666,0.007816666666666666,0.33796666666666664,1
Belgium,Male,537.3333333333334,0.017766666666666667,0.42443749999999997,1
Bolivia,Female,512.4,0.0193,0.398649,1
BosniaandHerzegovina,Female,523.5,0.0638,0.395005,1
BosniaandHerzegovina,Male,534.5714285714286,0.0638,0.395005,1
Brazil,Female,511.43037974683546,0.057977215189873414,0.40457963291139243,1
Brazil,Male,520,0.0586,0.4087,1
Bulgaria,Female,522.4666666666667,0.0642,0.411091,1
Bulgaria,Male,523,0.0642,0.411091,1
Burundi,Female,507,0.057800000000000004,0.5771713636363637,1
Cameroon,Female,498,0.0111,0.240643,1
Cameroon,Male,488,0.0111,0.240643,1
Canada,Female,536.0625,0.009187500000000001,0.1667050625,1
Canada,Male,515.3333333333334,0.009966666666666667,0.135675,1
CapeVerde,Male,499.3333333333333,0.0586,0.4087,1
Chile,Female,497.375,0.0193,0.398649,1
Chile,Male,503.8333333333333,0.017650000000000002,0.34607266666666664,1
China,Female,499.9577464788732,0.2937,0.595079,1
China,Male,471.6,0.2937,0.595079,1
Colombia,Female,510.5833333333333,0.0193,0.398649,1
"Congo,DemocraticRepublicofthe",Female,520.75,0.025175,0.447341,1
"Congo,DemocraticRepublicofthe",Male,470.5,0.0189875,0.422718,1
"Congo,Republic",Male,451.5,0.02105,0.43092566666666665,1
CostaRica,Female,509.5,0.0193,0.398649,1
CostaRica,Male,481,0.0193,0.398649,1
Coted'Ivoire,Female,519,0.0128,0.398095,1
Coted'Ivoire,Male,500,0.0128,0.398095,1
Croatia,Female,525.5,0.0638,0.395005,1
Cuba,Female,536,0.0193,0.398649,1
Cuba,Male,482.5,0.0193,0.398649,1
CzechRepublic,Female,530.3846153846154,0.05056923076923077,0.36195007692307696,1
Denmark,Female,559.45,0,0.0808,1
Denmark,Male,543,0.00505,0.3379395,1
DominicanRepublic,Female,493,0.0193,0.398649,1
DominicanRepublic,Male,495,0.0193,0.398649,1
