L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,morph,lex,new_feat,new_sounds
German,Germany,GermanEnglish,English,27,3,1,Male,Indo-European,deu ,101,546,-0.0171,0.037325,6,13
Russian,Russia,RussianMonolingual,Monolingual,30,4,4,Female,Indo-European,rus ,84,486,0.0468,0.396083,12,22
Arabic,Sudan,ArabicEnglish,English,27,2,4,Male,Afro-Asiatic,ara ,31,499,0.0638,0.595079,21,24
Indonesian,Indonesia,IndonesianMonolingual,Monolingual,23,2,3,Female,Austronesian,ind ,64,484,0.1461,0.595079,19,20
Catalan,Spain,CatalanEnglish,English,23,1,4,Male,Indo-European,cat ,118,523,0.0193,0.39545,17,19
Croatian,Yugoslavia,CroatianGerman,German,18,5,3,Male,Indo-European,hrv ,85,559,0.0638,0.395005,11,19
Indonesian,Indonesia,IndonesianEnglish,English,20,1,3,Female,Austronesian,ind ,64,502,0.1461,0.595079,19,20
Latvian,USSR,LatvianRussian,Russian,24,6,3,Female,Indo-European,lav ,90,514,0.0553,0.363589,7,18
Persian,Iran,PersianEnglish,English,24,3,3,Female,Indo-European,fas ,77,492,0.0603,0.555295,21,21
Arabic,Egypt,ArabicEnglish,English,27,5,3,Female,Afro-Asiatic,ara ,79,536,0.0638,0.595079,21,24
Persian,Iran,PersianEnglish,English,23,8,4,Male,Indo-European,fas ,77,501,0.0603,0.555295,21,21
Arabic,Iraq,ArabicFrench,French,40,1,4,Male,Afro-Asiatic,ara ,47,481,0.0638,0.595079,21,24
French,France,FrenchEnglish,English,27,8,3,Male,Indo-European,fra ,113,498,0.0128,0.398095,10,15
Arabic,Iraq,ArabicEnglish,English,37,2,4,Female,Afro-Asiatic,ara ,47,468,0.0638,0.595079,21,24
Bulgarian,Bulgaria,BulgarianEnglish,English,29,0,1,Female,Indo-European,bul ,90,491,0.0642,0.411091,12,21
Russian,Russia,RussianEnglish,English,33,7,2,Female,Indo-European,rus ,84,510,0.0468,0.396083,12,22
Armenian,Armenia,ArmenianRussian,Russian,22,1,3,Female,Indo-European,hye ,88,530,0.0298,0.492995,21,23
German,Germany,GermanEnglish,English,25,1,3,Female,Indo-European,deu ,101,516,-0.0171,0.037325,6,13
Polish,Poland,PolishGerman,German,29,4,4,Female,Indo-European,pol ,100,482,0.0479,0.388004,14,25
English,UnitedStates,EnglishMonolingual,Monolingual,25,4,3,Female,Indo-European,eng ,94,508,0.0094,0.083191,11,19
Arabic,Morocco,ArabicFrench,French,29,15,2,Female,Afro-Asiatic,ara ,49,542,0.0638,0.595079,21,24
German,Germany,GermanSwedish,Swedish,25,1,4,Female,Indo-European,deu ,101,587,-0.0171,0.037325,6,13
English,Netherlands,EnglishArabic,Arabic,17,1,3,Female,Indo-European,eng ,118,513,0.0094,0.083191,11,19
Hebrew,Israel,HebrewEnglish,English,21,2,3,Female,Afro-Asiatic,heb ,93,584,NA,0.595079,25,23
Arabic,Sudan,ArabicEnglish,English,41,2,3,Male,Afro-Asiatic,ara ,31,457,0.0638,0.595079,21,24
English,Nigeria,EnglishMonolingual,Monolingual,37,3,4,Female,Indo-European,eng ,35,465,0.0094,0.083191,11,19
Kinyarwanda,Rwanda,KinyarwandaEnglish,English,21,2,3,Female,Niger-Congo,kin ,16,500,0.0623,0.595079,13,16
Croatian,Yugoslavia,CroatianEnglish,English,23,3,4,Female,Indo-European,hrv ,85,503,0.0638,0.395005,11,19
Portugese,Brazil,PortugeseEnglish,English,26,1,4,Female,Indo-European,por ,106,459,0.0586,0.4087,15,18
Czech,Czechslowakia,CzechEnglish,English,31,3,3,Female,Indo-European,ces ,90,559,0.054,0.38518,9,15
English,UnitedStates,EnglishSpanish,Spanish,39,3,4,Female,Indo-European,eng ,94,555,0.0094,0.083191,11,19
